Time,System Production (W)
09/06/2016 04:45,"0"
09/06/2016 05:00,"0"
09/06/2016 05:15,"0"
09/06/2016 05:30,"0"
09/06/2016 05:45,"0"
09/06/2016 06:00,"0"
09/06/2016 06:15,"0"
09/06/2016 06:30,"0"
09/06/2016 06:45,"0"
09/06/2016 07:00,"0"
09/06/2016 07:15,"4.6667"
09/06/2016 07:30,"51.6667"
09/06/2016 07:45,"87.6667"
09/06/2016 08:00,"125.5"
09/06/2016 08:15,"164.3333"
09/06/2016 08:30,"223"
09/06/2016 08:45,"238.3333"
09/06/2016 09:00,"270"
09/06/2016 09:15,"329"
09/06/2016 09:30,"353.1667"
09/06/2016 09:45,"433.1667"
09/06/2016 10:00,"500.6667"
09/06/2016 10:15,"506.1667"
09/06/2016 10:30,"462"
09/06/2016 10:45,"542.6667"
09/06/2016 11:00,"546.5"
09/06/2016 11:15,"531.3333"
09/06/2016 11:30,"634.8333"
09/06/2016 11:45,"664.3333"
09/06/2016 12:00,"735.6667"
09/06/2016 12:15,"545.8333"
09/06/2016 12:30,"447"
09/06/2016 12:45,"491.8333"
09/06/2016 13:00,"611.1667"
09/06/2016 13:15,"624"
09/06/2016 13:30,"755.5"
09/06/2016 13:45,"569"
09/06/2016 14:00,"264.1667"
09/06/2016 14:15,"316.1667"
09/06/2016 14:30,"395.3333"
09/06/2016 14:45,"374.5"
09/06/2016 15:00,"525.8333"
09/06/2016 15:15,"662"
09/06/2016 15:30,"590.8333"
09/06/2016 15:45,"405.8333"
09/06/2016 16:00,"244.6667"
09/06/2016 16:15,"199.5"
09/06/2016 16:30,"258.8333"
09/06/2016 16:45,"261.3333"
09/06/2016 17:00,"252"
09/06/2016 17:15,"318.6667"
09/06/2016 17:30,"349.8333"
09/06/2016 17:45,"287.1667"
09/06/2016 18:00,"261.5"
09/06/2016 18:15,"235.5"
09/06/2016 18:30,"203"
09/06/2016 18:45,"129.3333"
09/06/2016 19:00,"100.1667"
09/06/2016 19:15,"80.5"
09/06/2016 19:30,"52.3333"
09/06/2016 19:45,"37"
09/06/2016 20:00,"0.5"
09/06/2016 20:15,"0"
09/06/2016 20:30,"0"
09/06/2016 20:45,"0"
09/06/2016 21:00,"0"
09/06/2016 21:15,"0"
09/06/2016 21:30,"0"
09/06/2016 21:45,"0"
09/06/2016 22:00,"0"
09/06/2016 22:15,"0"
09/06/2016 22:30,"0"
09/06/2016 22:45,"0"
09/06/2016 23:00,"0"
09/06/2016 23:15,"0"
09/06/2016 23:30,"0"
09/06/2016 23:45,"0"
09/07/2016 00:00,"0"
09/07/2016 00:15,"0"
09/07/2016 00:30,"0"
09/07/2016 00:45,"0"
09/07/2016 01:00,"0"
09/07/2016 01:15,"0"
09/07/2016 01:30,"0"
09/07/2016 01:45,"0"
09/07/2016 02:00,"0"
09/07/2016 02:15,"0"
09/07/2016 02:30,"0"
09/07/2016 02:45,"0"
09/07/2016 03:00,"0"
09/07/2016 03:15,"0"
09/07/2016 03:30,"0"
09/07/2016 03:45,"0"
09/07/2016 04:00,"0"
09/07/2016 04:15,"0"
09/07/2016 04:30,"0"
09/07/2016 04:45,"0"
09/07/2016 05:00,"0"
09/07/2016 05:15,"0"
09/07/2016 05:30,"0"
09/07/2016 05:45,"0"
09/07/2016 06:00,"0"
09/07/2016 06:15,"0"
09/07/2016 06:30,"0"
09/07/2016 06:45,"0"
09/07/2016 07:00,"0"
09/07/2016 07:15,"24.5"
09/07/2016 07:30,"125.1667"
09/07/2016 07:45,"432.1667"
09/07/2016 08:00,"789.3333"
09/07/2016 08:15,"1254.8334"
09/07/2016 08:30,"1582.8334"
09/07/2016 08:45,"1801.3334"
09/07/2016 09:00,"1910.5"
09/07/2016 09:15,"2243.6667"
09/07/2016 09:30,"2547.6667"
09/07/2016 09:45,"2783.3333"
09/07/2016 10:00,"2926.8333"
09/07/2016 10:15,"3103"
09/07/2016 10:30,"3145.3333"
09/07/2016 10:45,"3357.6667"
09/07/2016 11:00,"3286.3333"
09/07/2016 11:15,"3393.5"
09/07/2016 11:30,"3603.1667"
09/07/2016 11:45,"3657.1667"
09/07/2016 12:00,"3701.8333"
09/07/2016 12:15,"3683.1667"
09/07/2016 12:30,"3729"
09/07/2016 12:45,"3738.1667"
09/07/2016 13:00,"3714.6667"
09/07/2016 13:15,"3701"
09/07/2016 13:30,"3687"
09/07/2016 13:45,"3600.5"
09/07/2016 14:00,"3560.5"
09/07/2016 14:15,"3460.8333"
09/07/2016 14:30,"3382.6667"
09/07/2016 14:45,"3270.6667"
09/07/2016 15:00,"3128.8333"
09/07/2016 15:15,"2987.8333"
09/07/2016 15:30,"2824.6667"
09/07/2016 15:45,"2701.6667"
09/07/2016 16:00,"2538.1667"
09/07/2016 16:15,"2306.3333"
09/07/2016 16:30,"2125"
09/07/2016 16:45,"1892.3334"
09/07/2016 17:00,"1655.3334"
09/07/2016 17:15,"1440.3334"
09/07/2016 17:30,"1158"
09/07/2016 17:45,"826.5"
09/07/2016 18:00,"579.6667"
09/07/2016 18:15,"513.1667"
09/07/2016 18:30,"415"
09/07/2016 18:45,"200.5"
09/07/2016 19:00,"106.1667"
09/07/2016 19:15,"84.3333"
09/07/2016 19:30,"60.1667"
09/07/2016 19:45,"35.3333"
09/07/2016 20:00,"4.3333"
09/07/2016 20:15,"0"
09/07/2016 20:30,"0"
09/07/2016 20:45,"0"
09/07/2016 21:00,"0"
09/07/2016 21:15,"0"
09/07/2016 21:30,"0"
09/07/2016 21:45,"0"
09/07/2016 22:00,"0"
09/07/2016 22:15,"0"
09/07/2016 22:30,"0"
09/07/2016 22:45,"0"
09/07/2016 23:00,"0"
09/07/2016 23:15,"0"
09/07/2016 23:30,"0"
09/07/2016 23:45,"0"
09/08/2016 00:00,"0"
09/08/2016 00:15,"0"
09/08/2016 00:30,"0"
09/08/2016 00:45,"0"
09/08/2016 01:00,"0"
09/08/2016 01:15,"0"
09/08/2016 01:30,"0"
09/08/2016 01:45,"0"
09/08/2016 02:00,"0"
09/08/2016 02:15,"0"
09/08/2016 02:30,"0"
09/08/2016 02:45,"0"
09/08/2016 03:00,"0"
09/08/2016 03:15,"0"
09/08/2016 03:30,"0"
09/08/2016 03:45,"0"
09/08/2016 04:00,"0"
09/08/2016 04:15,"0"
09/08/2016 04:30,"0"
09/08/2016 04:45,"0"
09/08/2016 05:00,"0"
09/08/2016 05:15,"0"
09/08/2016 05:30,"0"
09/08/2016 05:45,"0"
09/08/2016 06:00,"0"
09/08/2016 06:15,"0"
09/08/2016 06:30,"0"
09/08/2016 06:45,"0"
09/08/2016 07:00,"0"
09/08/2016 07:15,"72.8333"
09/08/2016 07:30,"235.8333"
09/08/2016 07:45,"468.1667"
09/08/2016 08:00,"764.6667"
09/08/2016 08:15,"1024"
09/08/2016 08:30,"1358.1666"
09/08/2016 08:45,"1628.5"
09/08/2016 09:00,"1895"
09/08/2016 09:15,"2152.5"
09/08/2016 09:30,"2375"
09/08/2016 09:45,"2584"
09/08/2016 10:00,"2760.1667"
09/08/2016 10:15,"2935.3333"
09/08/2016 10:30,"3055.3333"
09/08/2016 10:45,"3186"
09/08/2016 11:00,"3316.8333"
09/08/2016 11:15,"3451.3333"
09/08/2016 11:30,"3555.5"
09/08/2016 11:45,"3603.1667"
09/08/2016 12:00,"3576.5"
09/08/2016 12:15,"3664"
09/08/2016 12:30,"3679.6667"
09/08/2016 12:45,"3657.3333"
09/08/2016 13:00,"3675"
09/08/2016 13:15,"3609.5"
09/08/2016 13:30,"3526.5"
09/08/2016 13:45,"3496.6667"
09/08/2016 14:00,"3432.1667"
09/08/2016 14:15,"3310.5"
09/08/2016 14:30,"3203.1667"
09/08/2016 14:45,"3014.8333"
09/08/2016 15:00,"2788.8333"
09/08/2016 15:15,"2686.3333"
09/08/2016 15:30,"2521.6667"
09/08/2016 15:45,"2307"
09/08/2016 16:00,"2097.3333"
09/08/2016 16:15,"1914"
09/08/2016 16:30,"1660.6666"
09/08/2016 16:45,"1444.6666"
09/08/2016 17:00,"1248.3334"
09/08/2016 17:15,"1077.8334"
09/08/2016 17:30,"872.8333"
09/08/2016 17:45,"629.1667"
09/08/2016 18:00,"446.8333"
09/08/2016 18:15,"345.3333"
09/08/2016 18:30,"262.5"
09/08/2016 18:45,"196.5"
09/08/2016 19:00,"160.8333"
09/08/2016 19:15,"121.3333"
09/08/2016 19:30,"86.5"
09/08/2016 19:45,"36.5"
09/08/2016 20:00,"4.8333"
09/08/2016 20:15,"0"
09/08/2016 20:30,"0"
09/08/2016 20:45,"0"
09/08/2016 21:00,"0"
09/08/2016 21:15,"0"
09/08/2016 21:30,"0"
09/08/2016 21:45,"0"
09/08/2016 22:00,"0"
09/08/2016 22:15,"0"
09/08/2016 22:30,"0"
09/08/2016 22:45,"0"
09/08/2016 23:00,"0"
09/08/2016 23:15,"0"
09/08/2016 23:30,"0"
09/08/2016 23:45,"0"
